order_id,date,category,product,quantity,unit_price,revenue,region
1001,2024-01-05,Electronics,Wireless Earbuds,120,49.99,5998.80,North
1002,2024-01-08,Fashion,Running Shoes,85,89.99,7649.15,South
1003,2024-01-12,Electronics,Smart Watch,60,199.99,11999.40,West
1004,2024-01-15,Home & Kitchen,Air Fryer,95,79.99,7599.05,East
1005,2024-01-20,Beauty,Skincare Set,200,34.99,6998.00,North
1006,2024-02-02,Electronics,Bluetooth Speaker,150,39.99,5998.50,South
1007,2024-02-10,Fashion,Denim Jacket,70,64.99,4549.30,West
1008,2024-02-14,Beauty,Perfume Gift Set,180,54.99,9898.20,East
1009,2024-02-18,Home & Kitchen,Robot Vacuum,40,249.99,9999.60,North
1010,2024-02-25,Electronics,USB-C Hub,300,24.99,7497.00,South
1011,2024-03-01,Fashion,Yoga Pants,110,44.99,4948.90,West
1012,2024-03-05,Home & Kitchen,Instant Pot,75,99.99,7499.25,East
1013,2024-03-10,Electronics,Portable Charger,220,29.99,6597.80,North
1014,2024-03-15,Beauty,Hair Dryer,90,69.99,6299.10,South
1015,2024-03-20,Fashion,Crossbody Bag,130,39.99,5198.70,West
1016,2024-04-01,Electronics,Noise Cancelling Headphones,55,149.99,8249.45,East
1017,2024-04-08,Home & Kitchen,Coffee Maker,100,59.99,5999.00,North
1018,2024-04-12,Beauty,Vitamin C Serum,250,22.99,5747.50,South
1019,2024-04-18,Fashion,Leather Wallet,160,29.99,4798.40,West
1020,2024-04-22,Electronics,Webcam HD,80,44.99,3599.20,East
1021,2024-05-03,Home & Kitchen,Blender,85,49.99,4249.15,North
1022,2024-05-10,Beauty,Makeup Brush Set,175,27.99,4898.25,South
1023,2024-05-15,Fashion,Sunglasses,140,54.99,7698.60,West
1024,2024-05-20,Electronics,Gaming Mouse,190,34.99,6648.10,East
1025,2024-05-28,Home & Kitchen,Electric Kettle,120,32.99,3958.80,North
1026,2024-06-02,Electronics,Tablet Stand,200,19.99,3998.00,South
1027,2024-06-10,Fashion,Sneakers,65,109.99,7149.35,West
1028,2024-06-15,Beauty,Sunscreen SPF50,300,14.99,4497.00,East
1029,2024-06-20,Home & Kitchen,Air Purifier,35,179.99,6299.65,North
1030,2024-06-28,Electronics,Mechanical Keyboard,110,74.99,8248.90,South
